id,status,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
15,a,5.5,25.1,8.0,8,0,33276,33135,1.5,1.5,5.0,5.0,8,1,28,33276,33135,0,0.0,0.0,0.0,0.47,28.0,0.0,0.0,2.8
16,a,6.5,6.3,3.0,3,0,14655,32403,0.5,0.5,3.3,3.3,3,0,9,14655,32403,0,0.09,0.05,0.14,0.32,6.6,13.4,8.0,2.8
17,a,10.0,33.0,12.0,12,0,113127,28246,1.2,1.2,4.3,4.3,12,2,42,113127,28246,1,0.35,0.37,0.72,0.32,64.2,61.7,78.0,20.4
18,a,6.0,40.2,6.0,6,0,34137,46599,1.0,1.0,4.2,4.2,6,0,26,34137,46599,0,0.0,0.0,0.0,0.47,14.8,0.9,0.0,1.6
20,a,5.0,0.1,3.0,3,0,2096,901,0.6,0.6,2.6,2.6,3,0,16,2096,901,0,0.06,0.06,0.12,0.47,14.4,43.6,1.0,5.9
21,i,4.5,0.0,0.0,0,0,30,1095,0.0,0.0,0.0,0.0,0,0,0,30,1095,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,i,5.0,0.1,0.0,0,0,33,1839,0.0,0.0,0.0,0.0,0,0,0,33,1839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,a,7.0,2.0,1.0,1,0,1860,20299,0.1,0.1,3.5,3.5,1,0,2,1860,20299,0,0.0,0.0,0.0,0.15,4.2,0.3,0.0,0.5
24,a,6.5,10.5,6.0,6,0,8858,21137,0.9,0.9,4.6,4.6,6,0,22,8858,21137,0,0.07,0.06,0.13,0.47,5.8,1.3,8.0,1.5
25,a,5.0,3.0,6.0,6,0,22279,8620,1.2,1.2,3.4,3.4,6,0,22,22279,8620,0,0.0,0.04,0.04,0.32,7.2,4.9,6.0,1.8
578,a,6.0,2.4,0.0,0,0,2394,25621,0.0,0.0,4.2,4.2,0,0,0,2394,25621,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
